div64 rne
0010000000000000_3fffffffffffffff_0000000000000000_11000_1 | 0008000000000000_0
3fdfffffffffffff_ffefffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
3fdffffffffffffe_7feffffffffffffe_0000000000000000_11000_1 | 0002000000000000_0
3fdffffffffffffe_ffe0000000000000_8000000000000000_11000_1 | 8004000000000000_0
3fdffffffffffffe_ffe0000000000001_8000000000000000_11000_1 | 8004000000000000_0
3fdffffffffffffe_ffefffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
3fdffffffffffffe_ffeffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
3fe0000000000000_7fe0000000000000_000fffffffffffff_11100_1 | 0004000000000000_0
3fe0000000000000_7fefffffffffffff_0000000000000000_11000_1 | 0002000000000000_0
3fe0000000000000_7feffffffffffffe_0000000000000000_11000_1 | 0002000000000000_0
3fe0000000000000_ffe0000000000000_8000000000000000_11100_1 | 8004000000000000_0
3fe0000000000000_ffe0000000000001_8000000000000000_11000_1 | 8004000000000000_0
3fe0000000000001_7fe0000000000000_000fffffffffffff_11100_1 | 0004000000000000_0
3fe0000000000001_7fe0000000000001_000fffffffffffff_11100_1 | 0004000000000000_0
3fe0000000000001_7fefffffffffffff_0000000000000000_11000_1 | 0002000000000000_0
3fe0000000000001_7feffffffffffffe_0000000000000000_11000_1 | 0002000000000000_0
3fe0000000000001_ffe0000000000001_8000000000000000_11100_1 | 8004000000000000_0
3fefffffffffffff_7fefffffffffffff_000fffffffffffff_11100_1 | 0004000000000000_0
3fefffffffffffff_7feffffffffffffe_000fffffffffffff_11100_1 | 0004000000000000_0
3fefffffffffffff_ffe0000000000000_8000000000000000_11100_1 | 8008000000000000_0
3fefffffffffffff_ffe0000000000001_8000000000000000_11100_1 | 8008000000000000_0
3fefffffffffffff_ffefffffffffffff_8000000000000000_11100_1 | 8004000000000000_0
3feffffffffffffe_7feffffffffffffe_000fffffffffffff_11100_1 | 0004000000000000_0
3feffffffffffffe_ffe0000000000000_8000000000000000_11100_1 | 8008000000000000_0
3feffffffffffffe_ffe0000000000001_8000000000000000_11100_1 | 8008000000000000_0
3feffffffffffffe_ffefffffffffffff_8000000000000000_11000_1 | 8004000000000000_0
3feffffffffffffe_ffeffffffffffffe_8000000000000000_11100_1 | 8004000000000000_0
3ff0000000000000_7fe0000000000000_0000000000000000_11000_1 | 0008000000000000_0
3ff0000000000000_7fefffffffffffff_000fffffffffffff_11100_1 | 0004000000000000_0
3ff0000000000000_7feffffffffffffe_000fffffffffffff_11100_1 | 0004000000000000_0
3ff0000000000000_ffe0000000000000_8000000000000000_11000_1 | 8008000000000000_0
3ff0000000000000_ffe0000000000001_8000000000000000_11100_1 | 8008000000000000_0
3ff0000000000001_7fe0000000000000_0000000000000000_11000_1 | 0008000000000000_0
3ff0000000000001_7fe0000000000001_0000000000000000_11000_1 | 0008000000000000_0
3ff0000000000001_7fefffffffffffff_000fffffffffffff_11100_1 | 0004000000000000_0
3ff0000000000001_7feffffffffffffe_000fffffffffffff_11100_1 | 0004000000000000_0
3ff0000000000001_ffe0000000000001_8000000000000000_11000_1 | 8008000000000000_0
3fffffffffffffff_7fefffffffffffff_0000000000000000_11000_1 | 0008000000000000_0
3fffffffffffffff_7feffffffffffffe_0000000000000000_11000_1 | 0008000000000000_0
3fffffffffffffff_ffe0000000000000_8000000000000000_11000_1 | 8010000000000000_0
3fffffffffffffff_ffefffffffffffff_8000000000000000_11000_1 | 8008000000000000_0
3ffffffffffffffe_7feffffffffffffe_0000000000000000_11000_1 | 0008000000000000_0
3ffffffffffffffe_ffefffffffffffff_8000000000000000_11100_1 | 8008000000000000_0
3ffffffffffffffe_ffeffffffffffffe_8000000000000000_11000_1 | 8008000000000000_0
4000000000000000_7fefffffffffffff_0000000000000000_11000_1 | 0008000000000000_0
4000000000000000_7feffffffffffffe_0000000000000000_11000_1 | 0008000000000000_0
4000000000000000_ffe0000000000001_8000000000000000_11000_1 | 8010000000000000_0
4000000000000001_7fefffffffffffff_0000000000000000_11000_1 | 0008000000000000_0
400ffffffffffffe_ffefffffffffffff_8000000000000000_11000_1 | 8010000000000000_0
8010000000000000_3ff0000000000001_8000000000000000_11000_1 | 8010000000000000_0
8010000000000000_4000000000000000_8000000000000000_11000_1 | 8008000000000000_0
8010000000000000_4000000000000001_8000000000000000_11100_1 | 8008000000000000_0
8010000000000000_4010000000000000_8000000000000000_11100_1 | 8004000000000000_0
8010000000000000_4010000000000001_8000000000000000_11000_1 | 8004000000000000_0
8010000000000000_bfffffffffffffff_0000000000000000_11000_1 | 0008000000000000_0
8010000000000000_bffffffffffffffe_0000000000000000_11000_1 | 0008000000000000_0
8010000000000000_c000000000000000_0000000000000000_11000_1 | 0008000000000000_0
8010000000000000_c00fffffffffffff_000fffffffffffff_11100_1 | 0004000000000000_0
8010000000000000_c00ffffffffffffe_000fffffffffffff_11100_1 | 0004000000000000_0
8010000000000000_c010000000000000_000fffffffffffff_11100_1 | 0004000000000000_0
8010000000000000_c01fffffffffffff_0000000000000000_11000_1 | 0002000000000000_0
8010000000000000_c01ffffffffffffe_0000000000000000_11000_1 | 0002000000000000_0
8010000000000001_4000000000000001_8000000000000000_11000_1 | 8008000000000000_0
8010000000000001_4010000000000001_8000000000000000_11100_1 | 8004000000000000_0
8010000000000001_bfffffffffffffff_0000000000000000_11000_1 | 0008000000000000_0
8010000000000001_c000000000000000_0000000000000000_11000_1 | 0008000000000000_0
8010000000000001_c000000000000001_0000000000000000_11000_1 | 0008000000000000_0
8010000000000001_c00fffffffffffff_000fffffffffffff_11100_1 | 0004000000000000_0
8010000000000001_c00ffffffffffffe_000fffffffffffff_11100_1 | 0004000000000000_0
8010000000000001_c010000000000000_000fffffffffffff_11100_1 | 0004000000000000_0
8010000000000001_c010000000000001_000fffffffffffff_11100_1 | 0004000000000000_0
8010000000000001_c01fffffffffffff_0000000000000000_11000_1 | 0002000000000000_0
8010000000000001_c01ffffffffffffe_0000000000000000_11000_1 | 0002000000000000_0
801fffffffffffff_4000000000000000_8000000000000000_11000_1 | 8010000000000000_0
801fffffffffffff_400fffffffffffff_8000000000000000_11000_1 | 8008000000000000_0
801fffffffffffff_4010000000000000_8000000000000000_11100_1 | 8008000000000000_0
801fffffffffffff_4010000000000001_8000000000000000_11100_1 | 8008000000000000_0
801fffffffffffff_401fffffffffffff_8000000000000000_11100_1 | 8004000000000000_0
801fffffffffffff_c00fffffffffffff_0000000000000000_11000_1 | 0008000000000000_0
801fffffffffffff_c00ffffffffffffe_0000000000000000_11000_1 | 0008000000000000_0
801fffffffffffff_c01fffffffffffff_000fffffffffffff_11100_1 | 0004000000000000_0
801fffffffffffff_c01ffffffffffffe_000fffffffffffff_11100_1 | 0004000000000000_0
801ffffffffffffe_3fffffffffffffff_8000000000000000_11000_1 | 8010000000000000_0
801ffffffffffffe_400fffffffffffff_8000000000000000_11100_1 | 8008000000000000_0
801ffffffffffffe_400ffffffffffffe_8000000000000000_11000_1 | 8008000000000000_0
801ffffffffffffe_4010000000000000_8000000000000000_11100_1 | 8008000000000000_0
801ffffffffffffe_4010000000000001_8000000000000000_11100_1 | 8008000000000000_0
801ffffffffffffe_401fffffffffffff_8000000000000000_11000_1 | 8004000000000000_0
801ffffffffffffe_401ffffffffffffe_8000000000000000_11100_1 | 8004000000000000_0
801ffffffffffffe_c00ffffffffffffe_0000000000000000_11000_1 | 0008000000000000_0
801ffffffffffffe_c01ffffffffffffe_000fffffffffffff_11100_1 | 0004000000000000_0
bfd0000000000000_7fe0000000000000_8000000000000000_11000_1 | 8002000000000000_0
bfd0000000000000_7fe0000000000001_8000000000000000_11000_1 | 8002000000000000_0
bfd0000000000000_ffe0000000000000_0000000000000000_11000_1 | 0002000000000000_0
bfd0000000000000_ffefffffffffffff_0000000000000000_11000_1 | 0001000000000000_0
bfd0000000000000_ffeffffffffffffe_0000000000000000_11000_1 | 0001000000000000_0
bfd0000000000001_7fe0000000000001_8000000000000000_11000_1 | 8002000000000000_0
bfd0000000000001_ffe0000000000000_0000000000000000_11000_1 | 0002000000000000_0
bfd0000000000001_ffe0000000000001_0000000000000000_11000_1 | 0002000000000000_0
bfd0000000000001_ffefffffffffffff_0000000000000000_11000_1 | 0001000000000000_0
bfd0000000000001_ffeffffffffffffe_0000000000000000_11000_1 | 0001000000000000_0
bfdfffffffffffff_7fe0000000000000_8000000000000000_11000_1 | 8004000000000000_0
bfdfffffffffffff_7fe0000000000001_8000000000000000_11000_1 | 8004000000000000_0
bfdfffffffffffff_7fefffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
bfdfffffffffffff_ffefffffffffffff_0000000000000000_11000_1 | 0002000000000000_0
bfdfffffffffffff_ffeffffffffffffe_0000000000000000_11000_1 | 0002000000000000_0
bfdffffffffffffe_7fe0000000000000_8000000000000000_11000_1 | 8004000000000000_0
bfdffffffffffffe_7fe0000000000001_8000000000000000_11000_1 | 8004000000000000_0
bfdffffffffffffe_7fefffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
bfdffffffffffffe_7feffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
bfdffffffffffffe_ffeffffffffffffe_0000000000000000_11000_1 | 0002000000000000_0
bfe0000000000000_7fe0000000000000_8000000000000000_11100_1 | 8004000000000000_0
bfe0000000000000_7fe0000000000001_8000000000000000_11000_1 | 8004000000000000_0
bfe0000000000000_ffe0000000000000_000fffffffffffff_11100_1 | 0004000000000000_0
bfe0000000000000_ffefffffffffffff_0000000000000000_11000_1 | 0002000000000000_0
bfe0000000000000_ffeffffffffffffe_0000000000000000_11000_1 | 0002000000000000_0
bfe0000000000001_7fe0000000000001_8000000000000000_11100_1 | 8004000000000000_0
bfe0000000000001_ffe0000000000000_000fffffffffffff_11100_1 | 0004000000000000_0
bfe0000000000001_ffe0000000000001_000fffffffffffff_11100_1 | 0004000000000000_0
bfe0000000000001_ffefffffffffffff_0000000000000000_11000_1 | 0002000000000000_0
bfe0000000000001_ffeffffffffffffe_0000000000000000_11000_1 | 0002000000000000_0
bfefffffffffffff_7fe0000000000000_8000000000000000_11100_1 | 8008000000000000_0
bfefffffffffffff_7fe0000000000001_8000000000000000_11100_1 | 8008000000000000_0
bfefffffffffffff_7fefffffffffffff_8000000000000000_11100_1 | 8004000000000000_0
bfefffffffffffff_ffefffffffffffff_000fffffffffffff_11100_1 | 0004000000000000_0
bfefffffffffffff_ffeffffffffffffe_000fffffffffffff_11100_1 | 0004000000000000_0
bfeffffffffffffe_7fe0000000000000_8000000000000000_11100_1 | 8008000000000000_0
bfeffffffffffffe_7fe0000000000001_8000000000000000_11100_1 | 8008000000000000_0
bfeffffffffffffe_7fefffffffffffff_8000000000000000_11000_1 | 8004000000000000_0
bfeffffffffffffe_7feffffffffffffe_8000000000000000_11100_1 | 8004000000000000_0
bfeffffffffffffe_ffeffffffffffffe_000fffffffffffff_11100_1 | 0004000000000000_0
bff0000000000000_7fe0000000000000_8000000000000000_11000_1 | 8008000000000000_0
bff0000000000000_7fe0000000000001_8000000000000000_11100_1 | 8008000000000000_0
bff0000000000000_ffe0000000000000_0000000000000000_11000_1 | 0008000000000000_0
bff0000000000000_ffefffffffffffff_000fffffffffffff_11100_1 | 0004000000000000_0
bff0000000000000_ffeffffffffffffe_000fffffffffffff_11100_1 | 0004000000000000_0
bff0000000000001_7fe0000000000001_8000000000000000_11000_1 | 8008000000000000_0
bff0000000000001_ffe0000000000000_0000000000000000_11000_1 | 0008000000000000_0
bff0000000000001_ffe0000000000001_0000000000000000_11000_1 | 0008000000000000_0
bff0000000000001_ffefffffffffffff_000fffffffffffff_11100_1 | 0004000000000000_0
bff0000000000001_ffeffffffffffffe_000fffffffffffff_11100_1 | 0004000000000000_0
bfffffffffffffff_7fe0000000000000_8000000000000000_11000_1 | 8010000000000000_0
bfffffffffffffff_7fefffffffffffff_8000000000000000_11000_1 | 8008000000000000_0
bfffffffffffffff_ffefffffffffffff_0000000000000000_11000_1 | 0008000000000000_0
bfffffffffffffff_ffeffffffffffffe_0000000000000000_11000_1 | 0008000000000000_0
bffffffffffffffe_7fefffffffffffff_8000000000000000_11100_1 | 8008000000000000_0
bffffffffffffffe_7feffffffffffffe_8000000000000000_11000_1 | 8008000000000000_0
bffffffffffffffe_ffeffffffffffffe_0000000000000000_11000_1 | 0008000000000000_0
c000000000000000_7fe0000000000001_8000000000000000_11000_1 | 8010000000000000_0
c000000000000000_ffefffffffffffff_0000000000000000_11000_1 | 0008000000000000_0
c000000000000000_ffeffffffffffffe_0000000000000000_11000_1 | 0008000000000000_0
c000000000000001_ffefffffffffffff_0000000000000000_11000_1 | 0008000000000000_0
c00ffffffffffffe_7fefffffffffffff_8000000000000000_11000_1 | 8010000000000000_0
bfdffffffffffffe_7fefffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
div64 ru
0010000000000000_3ff0000000000001_0000000000000000_11000_1 | 0010000000000000_0
0010000000000000_4000000000000000_0000000000000000_11000_1 | 0008000000000000_0
0010000000000000_4000000000000001_0000000000000000_11100_1 | 0008000000000000_0
0010000000000000_4010000000000000_0000000000000000_11100_1 | 0004000000000000_0
0010000000000000_4010000000000001_0000000000000000_11000_1 | 0004000000000000_0
0010000000000000_bfffffffffffffff_8000000000000000_11000_1 | 8008000000000000_0
0010000000000000_bffffffffffffffe_8000000000000000_11000_1 | 8008000000000000_0
0010000000000000_c000000000000000_8000000000000000_11000_1 | 8008000000000000_0
0010000000000000_c00fffffffffffff_800fffffffffffff_11100_1 | 8004000000000000_0
0010000000000000_c00ffffffffffffe_800fffffffffffff_11100_1 | 8004000000000000_0
0010000000000000_c010000000000000_800fffffffffffff_11100_1 | 8004000000000000_0
0010000000000000_c01fffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
0010000000000000_c01ffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
0010000000000001_4000000000000001_0000000000000000_11000_1 | 0008000000000000_0
0010000000000001_4010000000000001_0000000000000000_11100_1 | 0004000000000000_0
0010000000000001_bfffffffffffffff_8000000000000000_11000_1 | 8008000000000000_0
0010000000000001_c000000000000000_8000000000000000_11000_1 | 8008000000000000_0
0010000000000001_c000000000000001_8000000000000000_11000_1 | 8008000000000000_0
0010000000000001_c00fffffffffffff_800fffffffffffff_11100_1 | 8004000000000000_0
0010000000000001_c00ffffffffffffe_800fffffffffffff_11100_1 | 8004000000000000_0
0010000000000001_c010000000000000_800fffffffffffff_11100_1 | 8004000000000000_0
0010000000000001_c010000000000001_800fffffffffffff_11100_1 | 8004000000000000_0
0010000000000001_c01fffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
0010000000000001_c01ffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
001fffffffffffff_4000000000000000_0000000000000000_11000_1 | 0010000000000000_0
001fffffffffffff_400fffffffffffff_0000000000000000_11000_1 | 0008000000000000_0
001fffffffffffff_4010000000000000_0000000000000000_11100_1 | 0008000000000000_0
001fffffffffffff_4010000000000001_0000000000000000_11100_1 | 0008000000000000_0
001fffffffffffff_401fffffffffffff_0000000000000000_11100_1 | 0004000000000000_0
001fffffffffffff_c00fffffffffffff_8000000000000000_11000_1 | 8008000000000000_0
001fffffffffffff_c00ffffffffffffe_8000000000000000_11000_1 | 8008000000000000_0
001fffffffffffff_c01fffffffffffff_800fffffffffffff_11100_1 | 8004000000000000_0
001fffffffffffff_c01ffffffffffffe_800fffffffffffff_11100_1 | 8004000000000000_0
001ffffffffffffe_3fffffffffffffff_0000000000000000_11000_1 | 0010000000000000_0
001ffffffffffffe_400fffffffffffff_0000000000000000_11100_1 | 0008000000000000_0
001ffffffffffffe_400ffffffffffffe_0000000000000000_11000_1 | 0008000000000000_0
001ffffffffffffe_4010000000000000_0000000000000000_11100_1 | 0008000000000000_0
001ffffffffffffe_4010000000000001_0000000000000000_11100_1 | 0008000000000000_0
001ffffffffffffe_401fffffffffffff_0000000000000000_11000_1 | 0004000000000000_0
001ffffffffffffe_401ffffffffffffe_0000000000000000_11100_1 | 0004000000000000_0
001ffffffffffffe_c00ffffffffffffe_8000000000000000_11000_1 | 8008000000000000_0
001ffffffffffffe_c01ffffffffffffe_800fffffffffffff_11100_1 | 8004000000000000_0
3fd0000000000000_7fe0000000000000_0000000000000000_11000_1 | 0002000000000000_0
3fd0000000000000_7fe0000000000001_0000000000000000_11000_1 | 0002000000000000_0
3fd0000000000000_ffe0000000000000_8000000000000000_11000_1 | 8002000000000000_0
3fd0000000000000_ffefffffffffffff_8000000000000000_11000_1 | 8001000000000000_0
3fd0000000000000_ffeffffffffffffe_8000000000000000_11000_1 | 8001000000000000_0
3fd0000000000001_7fe0000000000001_0000000000000000_11000_1 | 0002000000000000_0
3fd0000000000001_ffe0000000000000_8000000000000000_11000_1 | 8002000000000000_0
3fd0000000000001_ffe0000000000001_8000000000000000_11000_1 | 8002000000000000_0
3fd0000000000001_ffefffffffffffff_8000000000000000_11000_1 | 8001000000000000_0
3fd0000000000001_ffeffffffffffffe_8000000000000000_11000_1 | 8001000000000000_0
3fdfffffffffffff_7fe0000000000000_0000000000000000_11000_1 | 0004000000000000_0
3fdfffffffffffff_7fe0000000000001_0000000000000000_11000_1 | 0004000000000000_0
3fdfffffffffffff_7fefffffffffffff_0000000000000000_11000_1 | 0002000000000000_0
3fdfffffffffffff_ffefffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
3fdfffffffffffff_ffeffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
3fdffffffffffffe_7fe0000000000000_0000000000000000_11000_1 | 0004000000000000_0
3fdffffffffffffe_7fe0000000000001_0000000000000000_11000_1 | 0004000000000000_0
3fdffffffffffffe_7fefffffffffffff_0000000000000000_11000_1 | 0002000000000000_0
3fdffffffffffffe_7feffffffffffffe_0000000000000000_11000_1 | 0002000000000000_0
3fdffffffffffffe_ffeffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
3fe0000000000000_7fe0000000000000_0000000000000000_11100_1 | 0004000000000000_0
3fe0000000000000_7fe0000000000001_0000000000000000_11000_1 | 0004000000000000_0
3fe0000000000000_ffe0000000000000_800fffffffffffff_11100_1 | 8004000000000000_0
3fe0000000000000_ffefffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
3fe0000000000000_ffeffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
3fe0000000000001_7fe0000000000001_0000000000000000_11100_1 | 0004000000000000_0
3fe0000000000001_ffe0000000000000_800fffffffffffff_11100_1 | 8004000000000000_0
3fe0000000000001_ffe0000000000001_800fffffffffffff_11100_1 | 8004000000000000_0
3fe0000000000001_ffefffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
3fe0000000000001_ffeffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
3fefffffffffffff_7fe0000000000000_0000000000000000_11100_1 | 0008000000000000_0
3fefffffffffffff_7fe0000000000001_0000000000000000_11100_1 | 0008000000000000_0
3fefffffffffffff_7fefffffffffffff_0000000000000000_11100_1 | 0004000000000000_0
3fefffffffffffff_ffefffffffffffff_800fffffffffffff_11100_1 | 8004000000000000_0
3fefffffffffffff_ffeffffffffffffe_800fffffffffffff_11100_1 | 8004000000000000_0
3feffffffffffffe_7fe0000000000000_0000000000000000_11100_1 | 0008000000000000_0
3feffffffffffffe_7fe0000000000001_0000000000000000_11100_1 | 0008000000000000_0
3feffffffffffffe_7fefffffffffffff_0000000000000000_11000_1 | 0004000000000000_0
3feffffffffffffe_7feffffffffffffe_0000000000000000_11100_1 | 0004000000000000_0
3feffffffffffffe_ffeffffffffffffe_800fffffffffffff_11100_1 | 8004000000000000_0
3ff0000000000000_7fe0000000000000_0000000000000000_11000_1 | 0008000000000000_0
3ff0000000000000_7fe0000000000001_0000000000000000_11100_1 | 0008000000000000_0
3ff0000000000000_ffe0000000000000_8000000000000000_11000_1 | 8008000000000000_0
3ff0000000000000_ffefffffffffffff_800fffffffffffff_11100_1 | 8004000000000000_0
3ff0000000000000_ffeffffffffffffe_800fffffffffffff_11100_1 | 8004000000000000_0
3ff0000000000001_7fe0000000000001_0000000000000000_11000_1 | 0008000000000000_0
3ff0000000000001_ffe0000000000000_8000000000000000_11000_1 | 8008000000000000_0
3ff0000000000001_ffe0000000000001_8000000000000000_11000_1 | 8008000000000000_0
3ff0000000000001_ffefffffffffffff_800fffffffffffff_11100_1 | 8004000000000000_0
3ff0000000000001_ffeffffffffffffe_800fffffffffffff_11100_1 | 8004000000000000_0
3fffffffffffffff_7fe0000000000000_0000000000000000_11000_1 | 0010000000000000_0
3fffffffffffffff_7fefffffffffffff_0000000000000000_11000_1 | 0008000000000000_0
3fffffffffffffff_ffefffffffffffff_8000000000000000_11000_1 | 8008000000000000_0
3fffffffffffffff_ffeffffffffffffe_8000000000000000_11000_1 | 8008000000000000_0
3ffffffffffffffe_7fefffffffffffff_0000000000000000_11100_1 | 0008000000000000_0
3ffffffffffffffe_7feffffffffffffe_0000000000000000_11000_1 | 0008000000000000_0
3ffffffffffffffe_ffeffffffffffffe_8000000000000000_11000_1 | 8008000000000000_0
4000000000000000_7fe0000000000001_0000000000000000_11000_1 | 0010000000000000_0
4000000000000000_ffefffffffffffff_8000000000000000_11000_1 | 8008000000000000_0
4000000000000000_ffeffffffffffffe_8000000000000000_11000_1 | 8008000000000000_0
4000000000000001_ffefffffffffffff_8000000000000000_11000_1 | 8008000000000000_0
400ffffffffffffe_7fefffffffffffff_0000000000000000_11000_1 | 0010000000000000_0
8010000000000000_3fffffffffffffff_8000000000000000_11000_1 | 8008000000000000_0
8010000000000000_3ffffffffffffffe_8000000000000000_11000_1 | 8008000000000000_0
8010000000000000_4000000000000000_8000000000000000_11000_1 | 8008000000000000_0
8010000000000000_400fffffffffffff_800fffffffffffff_11100_1 | 8004000000000000_0
8010000000000000_400ffffffffffffe_800fffffffffffff_11100_1 | 8004000000000000_0
8010000000000000_4010000000000000_800fffffffffffff_11100_1 | 8004000000000000_0
8010000000000000_401fffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
8010000000000000_401ffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
8010000000000000_bff0000000000001_0000000000000000_11000_1 | 0010000000000000_0
8010000000000000_c000000000000000_0000000000000000_11000_1 | 0008000000000000_0
8010000000000000_c000000000000001_0000000000000000_11100_1 | 0008000000000000_0
8010000000000000_c010000000000000_0000000000000000_11100_1 | 0004000000000000_0
8010000000000000_c010000000000001_0000000000000000_11000_1 | 0004000000000000_0
8010000000000001_3fffffffffffffff_8000000000000000_11000_1 | 8008000000000000_0
8010000000000001_4000000000000000_8000000000000000_11000_1 | 8008000000000000_0
8010000000000001_4000000000000001_8000000000000000_11000_1 | 8008000000000000_0
8010000000000001_400fffffffffffff_800fffffffffffff_11100_1 | 8004000000000000_0
8010000000000001_400ffffffffffffe_800fffffffffffff_11100_1 | 8004000000000000_0
8010000000000001_4010000000000000_800fffffffffffff_11100_1 | 8004000000000000_0
8010000000000001_4010000000000001_800fffffffffffff_11100_1 | 8004000000000000_0
8010000000000001_401fffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
8010000000000001_401ffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
8010000000000001_c000000000000001_0000000000000000_11000_1 | 0008000000000000_0
8010000000000001_c010000000000001_0000000000000000_11100_1 | 0004000000000000_0
801fffffffffffff_400fffffffffffff_8000000000000000_11000_1 | 8008000000000000_0
801fffffffffffff_400ffffffffffffe_8000000000000000_11000_1 | 8008000000000000_0
801fffffffffffff_401fffffffffffff_800fffffffffffff_11100_1 | 8004000000000000_0
801fffffffffffff_401ffffffffffffe_800fffffffffffff_11100_1 | 8004000000000000_0
801fffffffffffff_c000000000000000_0000000000000000_11000_1 | 0010000000000000_0
801fffffffffffff_c00fffffffffffff_0000000000000000_11000_1 | 0008000000000000_0
801fffffffffffff_c010000000000000_0000000000000000_11100_1 | 0008000000000000_0
801fffffffffffff_c010000000000001_0000000000000000_11100_1 | 0008000000000000_0
801fffffffffffff_c01fffffffffffff_0000000000000000_11100_1 | 0004000000000000_0
801ffffffffffffe_400ffffffffffffe_8000000000000000_11000_1 | 8008000000000000_0
801ffffffffffffe_401ffffffffffffe_800fffffffffffff_11100_1 | 8004000000000000_0
801ffffffffffffe_c00fffffffffffff_0000000000000000_11100_1 | 0008000000000000_0
801ffffffffffffe_bfffffffffffffff_0000000000000000_11000_1 | 0010000000000000_0
801ffffffffffffe_c00fffffffffffff_0000000000000000_11100_1 | 0008000000000000_0
801ffffffffffffe_c00ffffffffffffe_0000000000000000_11000_1 | 0008000000000000_0
801ffffffffffffe_c010000000000000_0000000000000000_11100_1 | 0008000000000000_0
801ffffffffffffe_c010000000000001_0000000000000000_11100_1 | 0008000000000000_0
801ffffffffffffe_c01fffffffffffff_0000000000000000_11000_1 | 0004000000000000_0
801ffffffffffffe_c01ffffffffffffe_0000000000000000_11100_1 | 0004000000000000_0
bfd0000000000000_7fe0000000000000_8000000000000000_11000_1 | 8002000000000000_0
bfd0000000000000_7fefffffffffffff_8000000000000000_11000_1 | 8001000000000000_0
bfd0000000000000_7feffffffffffffe_8000000000000000_11000_1 | 8001000000000000_0
bfd0000000000000_ffe0000000000000_0000000000000000_11000_1 | 0002000000000000_0
bfd0000000000000_ffe0000000000001_0000000000000000_11000_1 | 0002000000000000_0
bfd0000000000001_7fe0000000000000_8000000000000000_11000_1 | 8002000000000000_0
bfd0000000000001_7fe0000000000001_8000000000000000_11000_1 | 8002000000000000_0
bfd0000000000001_7fefffffffffffff_8000000000000000_11000_1 | 8001000000000000_0
bfd0000000000001_7feffffffffffffe_8000000000000000_11000_1 | 8001000000000000_0
bfd0000000000001_ffe0000000000001_0000000000000000_11000_1 | 0002000000000000_0
bfdfffffffffffff_7fefffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
bfdfffffffffffff_7feffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
bfdfffffffffffff_ffe0000000000000_0000000000000000_11000_1 | 0004000000000000_0
bfdfffffffffffff_ffe0000000000001_0000000000000000_11000_1 | 0004000000000000_0
bfdfffffffffffff_ffefffffffffffff_0000000000000000_11000_1 | 0002000000000000_0
bfdffffffffffffe_7feffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
bfdffffffffffffe_ffe0000000000000_0000000000000000_11000_1 | 0004000000000000_0
bfdffffffffffffe_ffe0000000000001_0000000000000000_11000_1 | 0004000000000000_0
bfdffffffffffffe_ffefffffffffffff_0000000000000000_11000_1 | 0002000000000000_0
bfdffffffffffffe_ffeffffffffffffe_0000000000000000_11000_1 | 0002000000000000_0
bfe0000000000000_7fe0000000000000_800fffffffffffff_11100_1 | 8004000000000000_0
bfe0000000000000_7fefffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
bfe0000000000000_7feffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
bfe0000000000000_ffe0000000000000_0000000000000000_11100_1 | 0004000000000000_0
bfe0000000000000_ffe0000000000001_0000000000000000_11000_1 | 0004000000000000_0
bfe0000000000001_7fe0000000000000_800fffffffffffff_11100_1 | 8004000000000000_0
bfe0000000000001_7fe0000000000001_800fffffffffffff_11100_1 | 8004000000000000_0
bfe0000000000001_7fefffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
bfe0000000000001_7feffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
bfe0000000000001_ffe0000000000001_0000000000000000_11100_1 | 0004000000000000_0
bfefffffffffffff_7fefffffffffffff_800fffffffffffff_11100_1 | 8004000000000000_0
bfefffffffffffff_7feffffffffffffe_800fffffffffffff_11100_1 | 8004000000000000_0
bfefffffffffffff_ffe0000000000000_0000000000000000_11100_1 | 0008000000000000_0
bfefffffffffffff_ffe0000000000001_0000000000000000_11100_1 | 0008000000000000_0
